question_num,question,option_a,option_b,option_c,option_d,correct_answer
64,"Відповідач, подаючи заперечення щодо наведених позивачем1 у відповіді на відзив пояснень, посилався на додаткові обставини, що не наводились у відзиві, та підтвердив їх доказами, які ним раніше не подавалися. Як повинен вчинити суд при розгляді справи?",Бере до уваги відповідні докази в обов'язковому порядку.,"Не бере до уваги, тому що докази подаються відповідачем разом з відзивом.","Бере до уваги, якщо відповідач обґрунтує неможливість подання їх разом з відзивом.","Не бере до уваги, тому що докази подаються на стадії розгляду справи по суті.",Бере до уваги відповідні докази в обов'язковому порядку.
65,Хто є суб’єктом звернення до суду із заявою про скасування заочного рішення?,позивач;,відповідач;,"особи, які не брали участі у справі;",треті особи.,відповідач;
66,До якого суду подається заява про скасування рішення міжнародного комерційного арбітражу?,до місцевого загального суду за місцезнаходженням арбітражу,до місцевого загального суду за місцезнаходженням боржника,до апеляційного загального суду за місцезнаходженням арбітражу,до апеляційний загального суду за місцезнаходженням боржника,до апеляційного загального суду за місцезнаходженням арбітражу
67,За наявності якої умови суд апеляційної інстанції повинен відмовити у відкритті апеляційного провадження якщо апеляційна скарга подана після спливу одного року з дня складення повного тексту судового рішення?,У разі пропуску строку на апеляційне оскарження внаслідок виникнення складних життєвих обставин.,"У разі подання апеляційної скарги особою, не повідомленою про розгляд справи.",У разі пропуску строку на апеляційне оскарження внаслідок виникнення обставин непереборної сили.,"У разі подання апеляційної скарги особою, не залученою до участі справі, якщо суд ухвалив рішення про її права, свободи, інтереси та (або) обовʼязки.",У разі пропуску строку на апеляційне оскарження внаслідок виникнення складних життєвих обставин.
68,"У якому з варіантів відповіді НЕ правильно вказано категорії цивільних справ, у яких суд допускає негайне виконання рішень?","Присудження працівникові виплати заробітної плати, але не більше ніж за один місяць: стягнення аліментів у межах суми платежу за один місяць. Відшкодування шкоди, завданої каліцтвом, іншим ушкодженням","здоровʼя або смертю фізичної особи, у межах суми стягнення за один місяць; розкриття банком інформації, яка містить банківську таємницю щодо фізичних та юридичних осіб.","Сплату податків, присудження працівникові виплати заробітної плати, але не більше ніж за один місяць.","Поновлення на роботі незаконно звільненого або переведеного на іншу роботу працівника: відібрання дитини і повернення й тому, з ким вона проживала.","Сплату податків, присудження працівникові виплати заробітної плати, але не більше ніж за один місяць."
69,Під час судового засідання сторони подали до суду спільну письмову заяву про укладення мирової угоди. Який процесуальний документ повинен постановити суд в такій ситуації?,Ухвалу про визнання мирової угоди.,Ухвалу про затвердження мирової угоди.,Ухвалу про затвердження мирової угоди в резолютивній частині якої зазначаються умови такої угоди та про закриття провадження у справі.,"Рішення, в резолютивній частині якого зазначаються умови мирової угоди.",Ухвалу про затвердження мирової угоди в резолютивній частині якої зазначаються умови такої угоди та про закриття провадження у справі.
70,"Який принцип чинності кримінального закону слід застосувати для притягнення до кримінальної відповідальності за КК України громадянина іноземної держави, що вчинив особливо тяжкий злочин на території Білорусі проти інтересів України за відсутності відповідних міжнародно-правових зобов’язань?",Реальний,Територіальності,Громадянства,Універсальний,Реальний
71,"А. вчинив діяння, передбачене ч. 1 ст. 262 КК України, а саме: «Викрадення, привласнення, вимагання вогнепальної зброї (крім гладкоствольної мисливської), бойових припасів, вибухових речовин, вибухових пристроїв чи радіоактивних матеріалів або заволодіння ними шляхом шахрайства». Через тиждень А. вчинив діяння, передбачене ч. 3 ст. 185 КК України, а саме: «Крадіжка, поєднана з проникненням у житло, інше приміщення чи сховище або що завдала значної шкоди потерпілому». Визначте вид множинності кримінальних правопорушень.",Повторність однорідних кримінальних правопорушень,Повторність різнорідних кримінальних правопорушень,Реальна сукупність кримінальних правопорушень,Рецидив кримінальних правопорушень 185 ККУ Примітка.,Повторність однорідних кримінальних правопорушень
72,"Громадянин А. 18 листопада 2023 року таємно викрав нарізну мисливську зброю. Через місяць він вчинив таємне викрадення грошових коштів на суму 10 тис. грн. Щодо громадянина А. було порушено кримінальне провадження. Визначте, яка форма (вид) множинності має місце у поведінці громадянина A.?",Повторність тотожних кримінальних правопорушень,Повторність однорідних кримінальних правопорушень,Реальна сукупність кримінальних правопорушень,Спеціальний рецидив кримінальних правопорушень,Повторність однорідних кримінальних правопорушень
73,"Ш. знайшов посвідчення учасника бойових дій, яке було видано на ім'я іншої особи. Потім, перебуваючи за місцем свого проживання, вклеїв власну фотокартку в знайдене посвідчення, маючи умисел на його подальше використання метою отримання матеріальної вигоди при користуванні пільгами, встановленими Законом України «Про статус ветеранів війни, гарантії їх соціального захисту». Указаний намір Ш. реалізував, пред'явивши чуже посвідчення з власним фото квитковому контролеру для безкоштовного проїзду в громадському транспорті. Кваліфікуйте дії Ш.",Підроблення документів (ч. 1 ст. 358 КК України).,Привласнення офіційного документа (ч. 1 ст. 357 України).,Підроблення документів (ч. 1 ст. 358 КК України) та використання завідомо підробленого документа (ч. 4 ст. 358 КК України).,Підроблення документів (ч. 1 ст. 358 КК України) та самовільне присвоєння влади або звання службової особи (ч. 1 ст. 353 КК України).,Підроблення документів (ч. 1 ст. 358 КК України) та використання завідомо підробленого документа (ч. 4 ст. 358 КК України).
74,"У невстановленої слідством особи наркоман С. придбав медичний шприц з однією дозою речовини, яку вважав героїном. Того ж дня його було зупинено співробітниками поліції та під час особистого огляду видав цей медичний шприц об'ємом 10 мл з рідиною об'ємом 0,2 мл. За висновком судової експертизи наркотичних засобів у вилученому шприці був фізіологічний розчин. Як кваліфікувати дії С.?","Закінчений замах на незаконне придбання і зберігання наркотичних засобів без мети збуту (ч. 2 ст. 15, ч. 1 ст. 309 КК України).",Незаконне придбання і зберігання наркотичних засобів без мети збуту (ч. 1 ст. 309 КК України).,Незаконне придбання і зберігання особливо небезпечних наркотичних засобів із метою збуту (ч. 2 ст. 307 КК України).,У діях С. складу злочину немає.,"Закінчений замах на незаконне придбання і зберігання наркотичних засобів без мети збуту (ч. 2 ст. 15, ч. 1 ст. 309 КК України)."
75,Яке з перелічених діянь охоплюється об'єктивною стороною складу злочину «Випуск в експлуатацію технічно несправних транспортних засобів або інше порушення їх експлуатації» (ст. 287 КК)?,"Допуск до керування транспортним засобом особи, яка не має права на керування транспортним засобом.","Керування транспортним засобом у стані алкогольного, наркотичного чи іншого сп'яніння.","Порушення правил безпеки експлуатації транспорту особою, яка керує транспортним засобом.",Заміна без дозволу відповідних органів номерної панелі з ідентифікаційним номером транспортного засобу.,"Допуск до керування транспортним засобом особи, яка не має права на керування транспортним засобом."
76,До кого може бути застосоване кримінальне покарання у вигляді арешту?,"до будь-якої особи, яка досягла віку кримінальної відповідальності","до будь-якої особи, яка досягла 16-річного віку","до будь-якої особи, яка досягла 18-річного віку",до військовослужбовця,до військовослужбовця
77,"Особа без громадянства, яка постійно проживає на території України, вчинила умисне вбивство на території Молдови. Застосування якого принципу чинності закону України про кримінальну відповідальність має місце в такому випадку за загальним правилом відповідно до кримінального законодавства України?",громадянства,територіального,універсального,реального,громадянства
78,"Максимальним ступенем шкоди здоровʼю, властивим насильницькому грабежу, є:",виривання майна з рук потерпілого,"заподіяння легкого тілесного ушкодження, що не спричинило розладу здоровʼя та втрати працездатності","заподіяння легкого тілесного ушкодження, що спричинило короткочасний розлад здоровʼя або працездатності",заподіяння тілесних ушкоджень середнього ступеня тяжкості,"заподіяння легкого тілесного ушкодження, що не спричинило розладу здоровʼя та втрати працездатності"
79,"Укажіть відповідь, в якій названо передбачений Кримінальним кодексом України вид звільнення особи від кримінальної відповідальності?",звільнення від кримінальної відповідальності у звʼязку з явкою з повинною,звільнення від кримінальної відповідальності у звʼязку з щирим каяттям,звільнення від кримінальної відповідальності при готуванні до злочину невеликої тяжкості,звільнення від кримінальної відповідальності у звʼязку з зміною обстановки,звільнення від кримінальної відповідальності у звʼязку з зміною обстановки
80,Які з названих нижче заходів кримінально-правового характеру можуть застосовуватись щодо юридичних осіб лише як основні?,штраф та ліквідація,штраф та конфіскація,лише штраф,лише ліквідація,штраф та ліквідація
81,"З якого моменту особа вважається такою, що досягла певного віку?",З 00 годин 00 хвилин наступної доби після дня свого народження.,З 00 годин 01 хвилини наступної доби після дня свого народження.,З 00 години 01 хвилини дня свого народження.,З 00 годин 00 хвилин дня свого народження.,З 00 годин 00 хвилин наступної доби після дня свого народження.
82,"Особа вчинила кримінальне правопорушення у стані осудності, але до винесення вироку захворіла на психічну хворобу. Щодо неї було застосовано примусовий захід медичного характеру. Невдовзі особа видужала. Чи підлягає вона покаранню?",Не підлягає покаранню.,Підлягає подальшому відбуванню покарання з врахуванням строку лікування.,Може підлягати покаранню на загальних підставах,Підлягає покаранню лише у разі вчинення тяжкого чи особливо тяжкого кримінального правопорушення.,Може підлягати покаранню на загальних підставах
83,У якому із варіантів відповідей зазначені види звільнення від кримінальної відповідальності що є безумовними?,звільнення від кримінальної відповідальності у зв’язку з передачею особи на поруки та звільнення від кримінальної відповідальності у зв’язку з примиренням винного з потерпілим;,звільнення від кримінальної відповідальності у зв’язку зі зміною обстановки та звільнення від кримінальної відповідальності у зв’язку з дійовим каяттям звільнення від кримінальної відповідальності у зв’язку з передачею,особи на поруки та звільнення від кримінальної відповідальності неповнолітнього із застосуванням примусових заходів виховного характеру; звільнення від кримінальної відповідальності неповнолітнього із,застосуванням примусових заходів виховного характеру та звільнення від кримінальної відповідальності у зв’язку зі зміною обстановки;,звільнення від кримінальної відповідальності у зв’язку зі зміною обстановки та звільнення від кримінальної відповідальності у зв’язку з дійовим каяттям звільнення від кримінальної відповідальності у зв’язку з передачею
84,"Хто з нижче перелічених осіб НЕ може бути потерпілим від кримінального правопорушення, передбаченого ст. 112 Кримінального кодексу України (Посягання на життя державного чи громадського діяча)?",Генеральний прокурор України.,Голова Конституційного Суду України.,Голова Верховної Ради України.,Державний секретар Кабінету Міністрів України,Державний секретар Кабінету Міністрів України
85,"Вкажіть особливість, яку має втрата працездатності як ознака1 тілесного ушкодження?",Вона може бути ознакою лише тяжкого тілесного ушкодження.,"Вона повинна бути стійкою (необоротною), тобто такою, яка повністю не відновлюється.","Вона вимірюється в днях, протягом яких особа перебувала на стаціонарному чи амбулаторному лікуванні.","Вона стосується лише професійної працездатності, а втрата загальної працездатності до уваги братися не може.","Вона повинна бути стійкою (необоротною), тобто такою, яка повністю не відновлюється."
86,"Водій А., втомлений після нічного переїзду, під час спільного приятелем Б. розпиття горілки, раптово безпричинно розпочав бійку, під час якої заподіяв Б. тяжке тілесне ушкодження. Судово-психіатрична експертиза дійшла висновку, що А. під час вчинення вказаних дій перебував у стані патологічного сп’яніння і не міг усвідомлювати свої дії. Чи буде А. притягнуто до кримінальної відповідальності?","Так, на загальних підставах.","Так, а стан сп’яніння буде обставиною, що обтяжить покарання.","Ні, у зв’язку з визнанням А. обмежено осудним.","Ні, у зв’язку з визнанням А. неосудним.","Ні, у зв’язку з визнанням А. неосудним."
87,"Яку обставину, що обтяжує покарання, суд має обовʼязково врахувати?",Вчинення кримінального правопорушення спеціальними субʼєктами,Вчинення кримінального правопорушення групою осіб без попередньої змови,"Вчинення кримінального правопорушення з використанням особи, яка страждає недоумством",Вчинення кримінального правопорушення вагітною,"Вчинення кримінального правопорушення з використанням особи, яка страждає недоумством"
88,"Зміст якої засади кримінального провадження розкриває наступне положення: «Прокурор, керівник органу досудового розслідування, слідчий зобов’язані всебічно, повно і неупереджено дослідити обставини кримінального провадження, виявити як ті обставини, що викривають, так і що виправдовують підозрюваного, обвинуваченого, а також обставини, що пом’якшують чи обтяжують його покарання, надати їм належну правову оцінку та забезпечити прийняття законних і неупереджених процесуальних рішень»?",Доступ до правосуддя,"Всебічність, повнота та неупередженність дослідження обставин кримінального провадження",Законність,Публічність,Законність
89,"У судове засідання не з'явився цивільний позивач, який був належним чином повідомлений про дату і час судового засідання, однак жодних клопотань чи заяв від нього не надходило й про причини своєї неявки він не попереджав. Цивільний відповідач заперечує проти задоволення цивільного позову. Якими мають бути дії суду?","З'ясувавши думку інших учасників судового провадження, відкласти судовий розгляд.",Залишити цивільний позов без розгляду.,Провести судовий розгляд і вирішити цивільний позов за наявними справі матеріалами.,Відмовити в задоволенні цивільного позову.,Залишити цивільний позов без розгляду.
90,У якому випадку затримання та тримання під вартою можуть застосовуватися до неповнолітнього? Якщо він підозрюється або обвинувачується у вчиненні злочину,"середньої тяжкості, за умови, що застосування іншого запобіжного заходу не забезпечить запобігання ризикам, зазначеним у статті 177 КПК Якщо він підозрюється або обвинувачується у вчиненні особливо","тяжкого злочину, за умови, що застосування іншого запобіжного заходу не забезпечить запобігання ризикам, зазначеним у статті 177 КПК України. Якщо він підозрюється або обвинувачується у вчиненні тяжкого чи","особливо тяжкого злочину, за умови, що застосування іншого запобіжного заходу не забезпечить запобігання ризикам, зазначеним у статті 177 КПК України.","Якщо іншим способом неможливо припинити протиправну поведінку неповнолітнього підозрюваного, обвинуваченого.","особливо тяжкого злочину, за умови, що застосування іншого запобіжного заходу не забезпечить запобігання ризикам, зазначеним у статті 177 КПК України."
91,"Хто здійснює розгляд клопотань щодо негласних слідчих (розшукових) дій, який віднесений до повноважень слідчого судді?",Слідчим суддею місцевого суду у межах територіальної юрисдикції якого знаходиться орган досудового розслідування.,"Головою місцевого суду, у межах територіальної юрисдикції якого знаходиться орган досудового розслідування.","Слідчим суддею апеляційного суду, в межах територіальної юрисдикції якого знаходиться орган досудового розслідування.","Колегією у кримінальних справах апеляційного суду, у межах територіальної юрисдикції якого знаходиться орган досудового розслідування.","Слідчим суддею апеляційного суду, в межах територіальної юрисдикції якого знаходиться орган досудового розслідування."
92,Які ухвали слідчого судді НЕ можуть бути оскаржені в апеляційному порядку під час досудового розслідування ?,Про відмову у наданні дозволу на затримання.,Про поміщення особи в приймальник-розподільник для дітей або відмову в такому поміщенні.,Про арешт майна або відмову у ньому.,Про проведення обшуку.,Про проведення обшуку.
93,Що відповідно до КПК України НЕ є критерієм визначення розумності строку?,наявність обґрунтованої підозри щодо вчинення кримінального правопорушення підозрюваним (обвинуваченим),поведінка учасників кримінального провадження,"спосіб здійснення слідчим, прокурором і судом своїх повноважень",складність кримінального провадження,наявність обґрунтованої підозри щодо вчинення кримінального правопорушення підозрюваним (обвинуваченим)
94,Заявник звернувся до слідчого із заявою про вчинення кримінального правопорушення о 10:00. Через необхідність проведення процесуальних дій в іншому провадженні слідчий вніс відомості до ЄРДР про початок досудового розслідування лише о 20:00. На наступний день заявник в 12:00 звернувся з вимогою про отримання витягу з ЄРДР. Чи зобов'язаний слідчий надати витяг ЄРДР заявнику?,"Ні, адже витяг з ЄРДР надається лише потерпілому.","Так, витяг з ЄРДР надається після 24 годин з моменту повідомлення про вчинення кримінального правопорушення.","Ні, витяг з ЄРДР надається після 24 годин з моменту внесення відомостей про кримінальне правопорушення до ЄРДР.","Ні, адже витяг з ЄРДР надається лише в провадженнях приватного обвинувачення.","Ні, витяг з ЄРДР надається після 24 годин з моменту внесення відомостей про кримінальне правопорушення до ЄРДР."
95,"На підставі якої апеляційної скарги може бути скасований виправдувальний вирок, ухвалений судом першої інстанції?",Поданої прокурором з мотивів і підстав виправдання.,"Цивільним відповідачем або його представником у частині, що стосується вирішення цивільного позову.","Цивільним позивачем, його представником або законним представником у частині, що стосується інтересів цивільного позивача.",Законним представником обвинуваченого в інтересах обвинуваченого.,Поданої прокурором з мотивів і підстав виправдання.
96,Яким субʼєктом НЕ може бути внесена застава?,Комунальним підприємством.,"Родичем підозрюваного, обвинуваченого.",Іноземцем.,Захисником.,Комунальним підприємством.
97,Що з переліченого НЕ віднесено до повноважень суду касаційної інстанції за наслідками розгляду касаційної скарги на вирок суду першої інстанції після його перегляду в суді апеляційної інстанції?,Скасувати вирок суду й закрити кримінальне провадження.,Скасувати вирок суду й призначити новий розгляд у суді першої чи апеляційної інстанції.,Змінити вирок суду.,Скасувати вирок повністю чи частково й ухвалити новий вирок.,Скасувати вирок повністю чи частково й ухвалити новий вирок.
98,"Яке рішення має бути прийнято у кримінальному провадженні щодо умисного ухилення від сплати податків, якщо досягнутий податковий компроміс?",Зупинити досудове розслідування.,Закрити кримінальне провадження.,Укласти угоду про визнання вини.,Укласти угоду про примирення.,Закрити кримінальне провадження.
99,"Який документ повинен скласти прокурор для початку досудового розслідування, якщо відсутня технічна можливість доступу до Єдиного реєстру досудових розслідувань через введення воєнного стану?",Рапорт.,Постанову.,Ухвалу.,Протокол.,Постанову.
100,Під час досудового розслідування прокурором прийнято рішення про складання клопотання про звільнення особи від кримінальної відповідальності у зв'язку із зміною обстановки. Підозрюваний не погоджувався із підставою звільнення та наполягав на звільнені у зв'язку з дійовим каяттям. Захисник суді просив задовольнити клопотання прокурора. Яке рішення повинен ухвалити суд?,Відмовити в задоволенні клопотання та призначити судовий розгляд по суті обвинувачення.,Задовольнити клопотання прокурора та звільнити підозрюваного кримінальної відповідальності у зв'язку із зміною обстановки.,Задовольнити клопотання підозрюваного та звільнити його від кримінальної відповідальності у зв'язку з дійовим каяттям.,Відмовити в задоволенні клопотання та повернути його прокурору для здійснення кримінального провадження в загальному порядку.,Відмовити в задоволенні клопотання та повернути його прокурору для здійснення кримінального провадження в загальному порядку.
101,"Касаційна скарга подана особою, яка не має права подавати таку скаргу. Яке рішення слід прийняти суду у даному випадку?",Залишити касаційну скаргу без руху.,Відмовити у відкритті касаційного провадження.,Залишити касаційну скаргу без розгляду.,Повернути касаційну скаргу.,Повернути касаційну скаргу.
102,За наслідками розгляду апеляційної скарги прокурора суд апеляційної інстанції прийшов до висновку про необхідність скасувати виправдувальний вирок з мотивів істотного порушення прав обвинуваченого. Чи правомірні дії суду?,"Так, суд апеляційної інстанції вправі скасувати виправдувальний вирок виключно з мотивів істотного порушення прав обвинуваченого.","Ні, оскільки на виправдувальний вирок апеляційна скарга взагалі може бути подана.","Ні, оскільки суд апеляційної інстанці не досліджує факт порушення прав обвинуваченого під час судового розгляду в суді першої інстанції","Ні, оскільки суд апеляційної інстанції не вправі скасовувати виправдувальний вирок лише з мотивів істотного порушення прав обвинуваченого.","Ні, оскільки суд апеляційної інстанції не вправі скасовувати виправдувальний вирок лише з мотивів істотного порушення прав обвинуваченого."
103,Яке з цих тверджень щодо порядку обʼєднання кримінальних проваджень є НЕ правильним ?,"В одному провадженні можуть бути об’єднані матеріали досудових розслідувань щодо декількох осіб, підозрюваних у вчиненні одного кримінального правопорушення.","В одному кримінальному провадженні можуть бути об’єднані матеріали досудових розслідувань щодо кримінального проступку та щодо злочину, вчинених однією особою.","В одному провадженні можуть бути об’єднані матеріали досудових розслідувань щодо однієї особи, підозрюваної у вчиненні кількох кримінальних правопорушень. В одному провадженні можуть бути об’єднані матеріали досудових","розслідувань, по яких не встановлено підозрюваних, проте є достатні підстави вважати, що кримінальні правопорушення, щодо яких здійснюються ці розслідування, вчинені однією особою (особами).","В одному кримінальному провадженні можуть бути об’єднані матеріали досудових розслідувань щодо кримінального проступку та щодо злочину, вчинених однією особою."
104,Коли може ініціюватися укладення угоди про примирення?,З моменту внесення відомостей про кримінальне правопорушення до ЄРДР та до ухвалення вироку.,З моменту затримання особи за підозрою у вчиненні кримінального правопорушення до початку судового розгляду.,З моменту повідомлення особі про підозру до виходу суду до нарадчої кімнати для ухвалення вироку.,З моменту складення обвинувального акту до виходу суду для ухвалення вироку. ПУБЛІЧНЕ,З моменту повідомлення особі про підозру до виходу суду до нарадчої кімнати для ухвалення вироку.
105,Яким актом за своєю юридичною природою є Меморандум про гарантії безпеки у зв’язку з приєднанням України до Договору про нерозповсюдження ядерної зброї (5 грудня 1994р.) (Будапештський меморандум)?,Міжнародний договір.,Меморандум про взаєморозуміння.,Протокол про наміри.,Політична угода.,Міжнародний договір.
106,"Які наслідки матиме для держави вчинення її дипломатичним представником дій, що являють собою втручання у внутрішні справи держави перебування?",Буде нести відповідальність у будь-якому випадку.,Буде нести відповідальність лише якщо держава перебування оголосить дипломатичного представника persona non grata.,"Не буде нести відповідальності, так як дипломатичний представник діяв з перевищенням своїх повноважень.","Не буде нести відповідальності, так як дипломатичний представник користується дипломатичними імунітетами",Буде нести відповідальність у будь-якому випадку.
107,Держава спорудила штучний острів на відстані 30 морських миль від свого узбережжя та встановила навколо нього зону безпеки розміром одна морська миля від зовнішнього краю споруди острова. Як кваліфікувати дії держави?,"Дії правомірні, оскільки держава має право споруджувати штучні острови.","Дії правомірні, оскільки зона безпеки не перевищує 12 морських миль.","Дії неправомірні, оскільки штучні острови можна споруджувати лише в територіальних водах.","Дії неправомірні, оскільки держава порушила допустиму ширину зони безпеки.","Дії неправомірні, оскільки держава порушила допустиму ширину зони безпеки."
108,"Як називається особлива категорія зобов’язань перед міжнародним співтовариством в цілому, що мають для нього життєво важливе значення і забезпечуються в особливому порядку?",Зобов’язання jus cogens.,Зобов’язання erga omnes.,Зобов’язання ex officio.,Зобов’язання in statu nascendi.,Зобов’язання erga omnes.
109,"Який характер має Резолюція «Мілітаризація Російською Федерацією тимчасово окупованих Автономної Республіки Крим та міста Севастополя, Україна, Чорного і Азовського морів», прийнята ОБСЄ 2019 року?",Документ soft law.,Обов'язковий юридичний.,Характер jus cogens.,Необов'язковий політичний.,Документ soft law.
110,"Як за конвенційним міжнародним гуманітарним правом повинна бути кваліфікована окупація, встановлена без застосування військової сили?",За будь-яких умов як збройний конфлікт міжнародного характеру,"Як збройний конфлікт міжнародного характеру за дотримання умов, визначених Додатковим протоколом 1 1977 р.",Як збройний конфлікт неміжнародного характеру.,Як порушення внутрішнього порядку чи виникнення обстановки внутрішнього напруження.,За будь-яких умов як збройний конфлікт міжнародного характеру
111,На що НЕ розповсюджується правонаступництво у міжнародному праві?,Державну власність.,Державні борги.,Державний бюджет.,Державні архіви.,Державний бюджет.
112,Положення якого міжнародного договору НЕ потребують імплементації в українському законодавстві?,Угода про асоціацію між Україною та ЄС.,Міжнародний пакт про громадянські та політичні права.,Конвенція ООН з морського права.,Статут Співдружності Незалежних Держав.,Статут Співдружності Незалежних Держав.
113,За якої з перелічених умов застосування контрзаходів потерпілою державою буде правомірним відповідно до міжнародного права?,Контрзаходи пропорційні заподіяній шкоді.,Контрзаходи носять превентивний характер.,Контрзаходи затверджуються рішенням Ради Безпеки ООН.,Контрзаходи застосовуються з метою покарання.,Контрзаходи пропорційні заподіяній шкоді.
114,"Держава, яка є стороною у міжнародному збройному конфлікті, має намір застосувати проти супротивника метод ведення бойових дій у відповідності до норм міжнародного гуманітарного права. Який із перелічених методів НЕ є забороненим нормами міжнародного гуманітарного права?","Напад на осіб, що вибули зі строю через поранення.",Симулювання наміру вести переговори.,Невибірковий напад.,Використання дезінформації.,Використання дезінформації.
115,"У державі А. відбувається збройний конфлікт (ЗК) між урядом й антиурядовими силами, за якого урядові війська витіснили антиурядові сили на територію держави Б. Антиурядові сили почали контролювати частину території держави Б. й здійснювати звідти напади на територію держави А. Який тип збройного конфлікту між державою А. й антиурядовими силами має місце в цій ситуації і чому?","Внутрішній ЗК, оскільки він почався на території держави А.","Інтернаціоналізований ЗК, оскільки його сторонами є держави А., Б. та антиурядові сили.","Міжнародний ЗК, оскільки застосовується міжнародне право.","Неміжнародний ЗК, оскільки його учасниками є держава А та антиурядові сили.","Неміжнародний ЗК, оскільки його учасниками є держава А та антиурядові сили."
116,"Верховний Суд Держави Х. у своїй постанові зазначив таке: «Міжнародне право є за своєю суттю міждержавним, тоді як внутрішнє право держави регулює відносини між особами, що перебувають під юрисдикцією, між собою та із державою. Жодна з цих правових систем не може напряму створювати або змінювати норми іншої. Застосування норми міжнародного права судами держави можливе лише за умови, що це передбачено нормою національної правової системи». Якій теорії співвідношення міжнародного та національного права відповідає така позиція Верховного суду?",Плюралістичній.,Дуалістичній.,Моністичній.,Координаційний.,Дуалістичній.
117,Держава А. постійний член Ради Безпеки ООН. У неї існує спір1 і спірна ситуація з державою Б. Якою за Статутом ООН має бути участь держави А. в голосуванні щодо обох питань у Раді Безпеки ООН?,В обох випадках має утриматися від голосування.,У випадку спірної ситуації має утриматися від голосування.,У випадку спору має утриматися від голосування.,В обох випадках може голосувати.,У випадку спору має утриматися від голосування.
118,"Як називається документ держави перебування, який допускає главу консульської установи до виконання своїх функцій?",Агреман.,Патент.,Екзекватура.,Індульгенція.,Екзекватура.
119,"У державі А. сталася аварія на сталеливарному заводі, унаслідок чого отруйні речовини потрапили до транскордонного водотоку й спричинили неможливість використання цих вод у державі Б. Це спричинило потребу очищення їх і знезараження державою Б. Як кваліфікується ця ситуація за міжнародно-правовою відповідальністю (МПВ)?",Немає МПВ внаслідок лиха.,Немає МПВ внаслідок форс-мажору.,Настання МПВ за правомірну діяльність.,Настання МПВ за міжнародно-протиправну діяльність.,Настання МПВ за правомірну діяльність.
120,Під час офіційного прийому військовий держави А. застрелив посла держави Б. що намагався вбити ножем присутніх на прийомі. Якою є кваліфікація ситуації для держави А. з погляду настання міжнародно-правової відповідальності?,"Стан лиха, що виключає міжнародно-правову відповідальність.","Міжнародно-протиправне діяння, що передбачає відповідальність.","Самооборона, що виключає міжнародно-правову відповідальність.","Міжнародно-правова відповідальність за дії, що не заборонені міжнародним правом.","Стан лиха, що виключає міжнародно-правову відповідальність."
121,"Чия поведінка розглядається як діяння держави, за яке вона нестиме міжнародно-правову відповідальність?","Посадових осіб держави, якщо вони діяли виключно в межах повноважень за посадою.","Будь-якого органу держави, навіть якщо перевищено повноваження або порушено інструкції.",Органів законодавчої та виконавчої влади держави.,"Центральних органів держави, виключно якщо не перевищено повноважень або не порушено інструкцій.","Будь-якого органу держави, навіть якщо перевищено повноваження або порушено інструкції."
122,"Після проголошення незалежності держава А. визнала міжнародні кордони держави В. відповідно до принципу uti possidetis. Через 5 років держава А. предʼявила територіальні претензії державі В. пославшись на те, що принцип uti possidetis щодо її кордонів не діє. Яку концепцію міжнародного права порушує держава А.?",Давності володіння.,Естопеля.,Чистої дошки.,Континуїтету. ЗАХИСТ ПРАВ ЛЮДИНИ,Естопеля.
123,"Які з перелічених прав, що захищаються Конвенцією по захист1 прав людини і основоположних свобод, НЕ підлягають жодним обмеженням і НЕ допускають жодних винятків?",Право на життя.,Право на вираження своїх поглядів.,Заборона нелюдського поводження.,Право на свободу та особисту недоторканість.,Заборона нелюдського поводження.
124,Скарга якого з наведених суб’єктів проти України є неприйнятною у Європейському Суді з прав людини?,"іноземця, що незаконно проживає в Україні",іншої Договірної сторони Конвенції,всеукраїнської професійної спілки,державного підприємства,державного підприємства
125,У яких випадках застосування смертної кари НЕ є порушенням1 ст. 2 «Право на життя» Конвенції про захист прав людини і основоположних свобод та Протоколів 6 і 13 до неї?,"у випадку винесення судом смертного вироку за вчинення злочину, за який передбачено такий вид покарання.","у випадку відступу від зобовʼязань під час війни або іншої суспільної небезпеки, яка загрожує життю нації,","з урахуванням протоколів 6 та 13, застосування смертної кари є порушенням ст. 2 у будь-якому випадку.","у випадку засудження особи за злочини проти миру, безпеки людства та міжнародного правопорядку.","з урахуванням протоколів 6 та 13, застосування смертної кари є порушенням ст. 2 у будь-якому випадку."
126,Яка з наведених цілей НЕ може бути легітимною метою обмеження права на свободу мирних зібрань згідно зі статтею 11 Конвенції про захист прав людини і основоположних свобод?,Охорона здоров’я та моралі.,Підтримання авторитету та безсторонності суду.,Захист прав та свобод інших людей.,Національна або громадська безпека.,Підтримання авторитету та безсторонності суду.
127,"Що з наведеного, згідно українського законодавства, НЕ є способом відновлення попереднього юридичного стану особи, щодо якої Європейським судом з прав людини встановлено порушення Конвенції про захист прав людини і основоположних свобод?",виплата відшкодування витрат на правову допомогу;,повторний розгляд справи адміністративним органом;,"притягнення до відповідальності осіб, чиї дії спричинили порушення прав;",внесення змін до чинного законодавства та практики його застосування.,внесення змін до чинного законодавства та практики його застосування.
